ECG Time [s],ECG [mV],PPG Time [s],PPG0,PPG1,PPG2,HRB Time [s],HRB Heartrate [bpm],HRB RR Interval [ms],Dosha,Peak Variability [bpm/s],Dosha Alignment,Synthetic Dosha
0.303695,0.638,0.296399,459.541,330.853,613.759,0.119528,92,870,Vata,0.0,0,Unknown
0.024617,0.515,0.05435,596.393,587.366,651.201,0.235759,63,966,Kapha,29.0,0,Unknown
0.181252,0.185,0.157929,747.82,862.765,858.489,0.262439,55,1002,Kapha,8.0,0,Unknown
0.331327,0.443,0.34552,439.591,323.489,582.264,0.318809,99,871,Vata,44.0,1,Vata
0.011192,0.051,0.124591,716.347,301.092,441.939,0.323913,80,942,Pitta,19.0,0,Unknown
0.055765,0.316,0.162489,546.703,619.336,541.146,0.326623,84,873,Pitta,4.0,0,Unknown
0.22318,0.395,0.337879,868.943,814.465,753.383,0.335649,58,1037,Kapha,26.0,0,Unknown
0.554495,0.34,0.486492,671.179,454.5,761.217,0.465579,66,945,Kapha,8.0,0,Unknown
0.308378,-0.07,0.407793,755.816,370.622,659.79,0.480488,70,888,Pitta,4.0,0,Unknown
0.572337,0.283,0.555151,784.2,454.062,442.522,0.494174,66,954,Kapha,4.0,1,Kapha
0.417128,0.171,0.383152,212.821,653.127,486.764,0.499197,93,882,Vata,27.0,1,Vata
0.691561,0.297,0.560697,444.603,613.935,509.996,0.500984,63,974,Kapha,30.0,0,Unknown
0.551823,0.777,0.586251,370.624,324.773,678.024,0.501821,87,819,Vata,24.0,1,Vata
0.650259,0.622,0.697232,390.098,335.975,300.237,0.54325,87,862,Vata,0.0,0,Unknown
0.681219,-0.005,1.072436,399.411,579.699,254.632,0.598727,88,856,Vata,1.0,0,Unknown
0.724196,0.439,0.712281,505.579,449.329,404.407,0.614031,59,996,Kapha,29.0,0,Unknown
0.89991,0.053,1.101343,651.066,709.547,758.064,0.657819,62,925,Kapha,3.0,1,Kapha
0.91589,0.401,1.111475,410.006,471.846,572.219,0.671958,66,921,Kapha,4.0,1,Kapha
0.408882,0.01,0.428525,764.007,760.314,479.434,0.679956,78,917,Pitta,12.0,1,Pitta
0.729268,0.893,1.276165,490.086,424.87,626.981,0.729406,89,861,Vata,11.0,0,Unknown
0.440049,0.274,0.443514,382.71,346.816,605.022,0.811036,80,942,Pitta,9.0,1,Pitta
0.863609,0.787,1.327413,466.801,588.355,419.575,0.824733,94,857,Vata,14.0,0,Unknown
0.927397,0.94,1.464047,503.953,232.683,623.484,0.862887,85,796,Vata,9.0,0,Pitta
0.99527,0.671,1.475215,582.442,443.786,646.545,0.906641,99,840,Vata,14.0,0,Unknown
1.09331,0.536,1.754837,606.493,216.807,231.229,0.923694,99,767,Vata,0.0,0,Unknown
1.077472,0.537,1.150375,526.427,661.187,793.326,0.992227,55,925,Kapha,44.0,0,Unknown
1.081921,0.035,1.180993,658.701,403.61,569.468,1.062267,58,972,Kapha,3.0,1,Kapha
1.176632,0.084,1.29762,407.481,558.298,809.667,1.072709,66,1014,Kapha,8.0,0,Unknown
1.23507,0.302,1.798415,559.062,231.327,641.732,1.087442,91,898,Vata,25.0,1,Vata
0.629618,-0.043,0.465999,301.162,777.532,491.242,1.102859,72,893,Pitta,19.0,0,Unknown
1.396316,0.919,1.823224,677.762,653.219,424.16,1.147738,93,853,Vata,21.0,1,Vata
1.458958,0.839,1.83915,209.116,269.623,455.216,1.148692,92,789,Vata,1.0,0,Unknown
0.664713,0.257,0.572601,791.965,605.463,452.262,1.20276,82,854,Pitta,10.0,1,Pitta
0.740463,0.327,0.715079,753.069,300.634,312.43,1.203163,79,904,Pitta,3.0,0,Unknown
1.224097,0.43,1.354182,532.273,738.595,465.349,1.269829,68,950,Kapha,11.0,0,Unknown
1.521045,-0.146,1.868045,297.889,466.21,513.296,1.3148,99,887,Vata,31.0,1,Vata
1.328067,0.262,1.438527,657.015,642.019,486.687,1.329572,66,1012,Kapha,33.0,0,Unknown
1.525148,-0.168,1.895169,203.781,405.548,663.191,1.345553,99,838,Vata,33.0,1,Vata
0.774434,0.306,0.755784,327.723,747.004,301.957,1.346955,73,942,Pitta,26.0,0,Unknown
1.35026,0.242,1.978617,686.575,889.135,570.438,1.386411,63,1045,Kapha,10.0,0,Unknown
0.859854,0.682,0.819701,716.517,560.856,413.604,1.452363,70,879,Pitta,7.0,1,Pitta
1.700247,0.082,2.006279,862.876,837.052,604.244,1.498254,67,911,Kapha,3.0,1,Kapha
1.75024,0.304,2.027349,722.673,579.535,574.351,1.500247,55,902,Kapha,12.0,0,Unknown
1.96953,0.076,2.162243,607.368,422.743,781.824,1.65791,55,1019,Kapha,0.0,1,Kapha
0.874029,0.377,0.878828,528.902,431.335,503.203,1.714255,73,878,Pitta,18.0,0,Unknown
0.87654,0.321,0.999628,429.481,683.64,725.631,1.784176,82,875,Pitta,9.0,1,Pitta
1.590679,0.252,1.951571,523.737,373.672,209.558,1.868946,89,810,Vata,7.0,0,Unknown
1.000549,0.27,1.150073,739.373,763.333,699.242,1.886757,70,932,Pitta,19.0,0,Unknown
1.830015,0.773,1.992187,649.015,649.917,438.422,1.904626,98,754,Vata,28.0,1,Vata
2.087952,0.286,2.355183,865.176,822.813,448.476,1.927185,58,1034,Kapha,40.0,0,Unknown
2.136729,0.458,2.603831,792.441,855.617,575.609,2.003592,68,1033,Kapha,10.0,0,Unknown
1.885751,0.985,2.036759,321.741,210.912,543.861,2.020584,98,871,Vata,30.0,1,Vata
1.136724,0.636,1.166883,398.334,541.845,433.583,2.110478,74,875,Pitta,24.0,0,Unknown
1.261266,0.706,1.298734,773.65,457.777,422.27,2.197782,74,886,Pitta,0.0,0,Unknown
2.41981,0.155,2.634277,500.004,810.314,818.62,2.213597,57,981,Kapha,17.0,0,Unknown
2.877464,0.288,2.674202,465.421,463.975,433.399,2.249277,61,944,Kapha,4.0,1,Kapha
2.063311,-0.019,2.200286,663.517,531.895,561.353,2.336281,88,804,Vata,27.0,1,Vata
2.156536,0.513,2.220458,230.134,681.697,546.266,2.338759,96,786,Vata,8.0,0,Unknown
1.333109,0.668,1.442474,402.811,694.473,413.661,2.344721,83,940,Pitta,13.0,1,Pitta
1.446612,0.506,1.499045,606.842,640.893,469.619,2.407477,80,943,Pitta,3.0,0,Unknown
2.213217,0.257,2.360612,667.218,480.084,267.218,2.42105,91,805,Vata,11.0,0,Unknown
1.477079,0.024,1.624868,411.543,744.376,549.099,2.457092,76,902,Pitta,15.0,0,Unknown
2.956419,0.595,2.851065,737.906,898.958,871.172,2.522688,65,1026,Kapha,11.0,0,Unknown
3.101141,0.412,2.854992,679.942,529.292,893.158,2.540097,57,985,Kapha,8.0,0,Unknown
3.235955,0.505,3.003872,794.837,762.102,444.284,2.566996,55,1014,Kapha,2.0,1,Kapha
3.60439,0.249,3.051238,769.403,854.017,545.636,2.663716,66,908,Kapha,11.0,0,Unknown
3.692582,0.461,3.080062,712.606,517.844,586.2,2.673398,69,911,Kapha,3.0,1,Kapha
1.534188,0.149,1.736659,572.834,646.257,519.334,2.775715,83,879,Pitta,14.0,1,Pitta
3.842611,0.024,3.497832,893.191,854.129,788.196,2.801869,65,1015,Kapha,18.0,0,Unknown
1.548564,-0.059,1.824953,641.988,421.764,409.137,2.870329,77,852,Pitta,12.0,1,Pitta
1.855853,0.738,1.943348,395.114,765.83,365.226,2.913763,73,892,Pitta,4.0,0,Unknown
3.900047,0.074,3.690344,666.795,554.741,697.963,2.995349,64,987,Kapha,9.0,0,Unknown
2.285178,0.495,1.947065,560.443,352.418,306.289,3.027334,76,856,Pitta,12.0,1,Pitta
2.417337,0.572,1.980716,534.53,433.971,376.982,3.035811,73,898,Pitta,3.0,0,Unknown
4.025624,0.122,4.125057,456.553,888.207,722.183,3.067898,56,961,Kapha,17.0,0,Unknown
2.240891,0.964,2.365609,375.811,668.411,349.698,3.110148,89,851,Vata,33.0,1,Vata
2.443728,0.811,2.37713,250.71,226.129,379.358,3.119361,91,842,Vata,2.0,0,Unknown
4.067784,0.241,4.252302,814.137,540.63,778.755,3.131103,64,1003,Kapha,27.0,0,Unknown
4.191715,0.507,4.290181,525.927,876.718,458.989,3.20041,67,972,Kapha,3.0,1,Kapha
2.446508,0.806,2.406551,442.936,409.397,602.219,3.20088,96,822,Vata,29.0,1,Vata
2.485685,0.18,2.325416,335.519,560.097,652.678,3.252705,72,922,Pitta,24.0,0,Unknown
2.517844,0.661,2.81955,709.154,582.871,421.819,3.306578,84,890,Pitta,12.0,1,Pitta
2.598916,0.134,2.823503,467.841,307.655,534.301,3.360139,75,926,Pitta,9.0,1,Pitta
2.589595,0.362,2.494372,328.388,330.079,339.38,3.370565,85,808,Vata,10.0,0,Pitta
2.818379,-0.099,2.874832,587.291,690.286,595.651,3.374802,73,928,Pitta,12.0,1,Pitta
2.713637,0.298,2.525591,342.436,565.41,305.352,3.395139,85,751,Vata,12.0,0,Pitta
2.718241,0.128,2.744522,353.645,690.649,678.724,3.46393,94,853,Vata,9.0,0,Unknown
4.254971,0.208,4.336303,788.651,426.772,816.605,3.515453,58,976,Kapha,36.0,0,Unknown
4.470628,0.393,4.484754,878.554,754.636,752.81,3.527761,55,939,Kapha,3.0,1,Kapha
2.726783,-0.132,2.892722,601.513,328.265,204.432,3.751578,98,800,Vata,43.0,1,Vata
2.760159,0.838,3.118277,469.581,527.087,698.91,3.840381,97,779,Vata,1.0,0,Unknown
